Free Agents  Season   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Akil Baddoo LF | MIL ,320,43,73,47,14,2,10,41,33,89,10,2,.228,.304,.378,335
W ,"Thomas Saggese 2B,3B,SS | STL ",392,42,106,76,24,1,5,42,28,103,7,1,.270,.321,.375,336
W ,Jerar Encarnacion RF | SF,253,35,65,40,12,2,11,38,20,67,7,1,.257,.314,.451,337
W ,Yohel Pozo C | STL ,387,45,94,63,17,1,13,46,29,87,1,0,.243,.300,.393,338
W ,Braxton Fulford C | COL,313,40,79,51,15,3,10,46,25,88,3,1,.252,.312,.415,341
W ,MJ Melendez LF | NYM,395,47,81,42,20,2,17,42,38,129,5,3,.205,.281,.395,342
W ,"Ramon Urias 2B,3B | STL ",381,40,92,62,18,1,11,48,33,94,3,1,.241,.303,.381,343
W ,Nelson Velazquez DH | STL ,309,40,71,42,14,1,14,42,32,94,3,1,.230,.308,.417,344
W ,Vimael Machin 3B | COL ,312,40,78,51,15,2,10,39,26,78,5,1,.250,.314,.407,345
W ,Luke Williams SS | ATL ,263,33,68,43,16,2,7,31,22,62,12,3,.259,.321,.414,346
W ,Kris Bryant DH | COL ,293,36,74,48,14,1,11,43,29,82,2,0,.253,.332,.420,347
W ,Jose Azocar RF | ATL ,259,36,65,42,12,2,9,32,23,65,8,2,.251,.317,.417,349
W ,"Ryan Ritter 2B,SS | COL ",317,41,80,55,16,3,6,35,23,88,8,3,.252,.313,.379,350
W ,Jose Tena 3B | WAS,322,39,83,54,21,3,5,38,26,81,7,2,.258,.315,.388,351
W ,Michael Conforto LF | CHC ,367,47,82,46,22,1,13,40,41,102,1,0,.223,.312,.395,352
W ,Tyrone Taylor CF | NYM,322,42,75,46,20,3,6,35,21,84,10,2,.233,.291,.370,353
W ,Justin Dean CF | CHC,187,28,48,29,10,1,8,26,19,49,12,3,.257,.330,.449,354
W ,"Chas McCormick LF,CF,RF | CHC ",368,47,80,55,16,1,8,34,36,123,10,8,.217,.304,.332,355
W ,Nacho Alvarez Jr. 3B | ATL ,327,37,85,56,20,1,8,35,25,77,3,1,.260,.319,.401,357
W ,Brett Wisely 2B | ATL,328,33,80,53,20,1,6,44,24,75,6,3,.244,.300,.366,358
W ,"Santiago Espinal 2B,3B,LF | LAD ",332,36,87,70,12,0,5,31,27,48,6,1,.262,.319,.343,360
W ,Jose Trevino C | CIN,324,39,80,51,20,0,9,36,21,63,1,0,.247,.293,.392,361
W ,Ryan Ward LF | LAD,190,29,51,32,10,1,8,27,20,46,6,2,.268,.343,.458,363
W ,Benjamin Cowles SS | CHC ,195,29,53,35,10,1,7,26,16,43,7,2,.272,.332,.441,364
